t,consumo,produzione
2026-06-01 00:00:30,136,0
2026-06-01 00:01:30,136,0
2026-06-01 00:02:30,133,0
2026-06-01 00:03:30,135,0
2026-06-01 00:04:30,135,0
2026-06-01 00:05:30,135,0
2026-06-01 00:06:30,142,0
2026-06-01 00:07:30,133,0
2026-06-01 00:08:31,134,0
2026-06-01 00:09:30,134,0
2026-06-01 00:10:30,131,0
2026-06-01 00:11:30,104,0
2026-06-01 00:12:30,99,0
2026-06-01 00:13:30,101,0
2026-06-01 00:14:30,101,0
2026-06-01 00:15:30,101,0
2026-06-01 00:16:30,101,0
2026-06-01 00:17:31,724,0
2026-06-01 00:18:30,101,0
2026-06-01 00:19:30,103,0
2026-06-01 00:20:30,103,0
2026-06-01 00:21:30,103,0
2026-06-01 00:22:30,101,0
2026-06-01 00:23:30,103,0
2026-06-01 00:24:30,119,0
2026-06-01 00:25:30,139,0
2026-06-01 00:26:30,140,0
2026-06-01 00:27:30,141,0
2026-06-01 00:28:31,143,0
2026-06-01 00:29:30,143,0
2026-06-01 00:30:30,143,0
2026-06-01 00:31:30,144,0
2026-06-01 00:32:30,141,0
2026-06-01 00:33:30,143,0
2026-06-01 00:34:30,140,0
2026-06-01 00:35:30,143,0
2026-06-01 00:36:30,142,0
2026-06-01 00:37:30,139,0
2026-06-01 00:38:30,142,0
2026-06-01 00:39:30,142,0
2026-06-01 00:40:31,143,0
2026-06-01 00:41:30,140,0
