t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2026-07-01,21.0,47.7,12.2,8.8,12.2,35.5
2026-07-02,11.7,55.9,6.7,5.0,6.7,49.3
2026-07-03,22.3,55.1,14.7,7.5,14.7,40.4
2026-07-04,12.3,54.8,5.1,7.2,5.1,49.6
2026-07-05,12.9,55.0,7.3,5.6,7.3,47.7
2026-07-06,5.9,48.5,2.4,3.5,2.4,46.0
2026-07-07,38.8,53.5,14.8,24.0,14.8,38.8
2026-07-08,14.1,54.5,6.0,8.1,6.0,48.5
2026-07-09,31.1,53.9,8.8,22.3,8.8,45.2
2026-07-10,26.6,44.0,20.7,5.9,20.7,23.3
2026-07-11,16.1,41.4,9.0,7.1,9.0,32.4
2026-07-12,37.7,54.8,16.2,21.5,16.2,38.6
2026-07-13,14.9,45.7,10.3,4.6,10.3,35.4
2026-07-14,11.9,52.2,7.3,4.6,7.3,44.9
2026-07-15,8.8,36.9,4.2,4.6,4.2,32.7
