t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2026-03-02,8.5,18.0,2.2,6.3,2.2,15.7
2026-03-03,7.0,28.5,3.2,3.8,3.2,25.4
2026-03-04,13.6,37.0,8.0,5.6,8.0,29.0
2026-03-05,8.4,18.0,3.2,5.2,3.2,14.9
2026-03-06,9.5,27.8,4.4,5.1,4.4,23.4
2026-03-07,15.6,42.1,9.5,6.1,9.5,32.7
2026-03-08,12.9,43.0,8.2,4.7,8.2,34.9
2026-03-09,7.4,29.5,2.7,4.7,2.7,26.7
2026-03-10,9.4,5.3,2.3,7.1,2.3,3.1
2026-03-11,10.2,30.8,4.7,5.6,4.7,26.2
2026-03-12,8.5,35.1,2.9,5.6,2.9,32.2
2026-03-13,8.1,43.6,3.0,5.1,3.0,40.6
2026-03-14,15.6,6.9,5.0,10.6,5.0,2.0
2026-03-15,10.4,9.5,2.9,7.5,2.9,6.6
2026-03-16,12.4,48.2,6.2,6.1,6.2,42.0
2026-03-17,12.0,46.7,6.9,5.1,6.9,39.7
2026-03-18,7.9,9.9,2.2,5.7,2.2,7.8
2026-03-19,10.4,48.0,3.4,7.0,3.4,44.6
2026-03-20,5.8,48.0,3.5,2.3,3.5,44.5
2026-03-21,14.7,36.6,9.2,5.5,9.2,27.3
