t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2026-06-01,18.3,53.8,6.1,12.2,6.1,47.7
2026-06-02,23.8,34.1,5.3,18.5,5.3,28.8
2026-06-03,11.2,54.7,5.6,5.6,5.6,49.1
2026-06-04,10.2,37.5,4.8,5.4,4.8,32.7
2026-06-05,21.0,49.0,14.7,6.3,14.7,34.3
2026-06-06,27.7,41.4,22.0,5.6,22.0,19.3
2026-06-07,21.3,52.2,17.4,3.9,17.4,34.8
2026-06-08,31.5,52.3,24.2,7.3,24.2,28.1
2026-06-09,22.1,50.1,10.4,11.7,10.4,39.8
2026-06-10,17.7,50.5,13.2,4.5,13.2,37.3
2026-06-11,24.9,56.4,9.1,15.8,9.1,47.4
2026-06-12,15.5,55.2,13.6,1.9,13.6,41.5
2026-06-13,19.0,55.5,15.0,4.1,15.0,40.6
2026-06-14,22.8,54.3,18.8,4.0,18.8,35.5
2026-06-15,11.3,55.6,6.3,5.1,6.3,49.3
2026-06-16,13.9,50.7,5.9,8.0,5.9,44.8
2026-06-17,28.6,54.6,19.8,8.8,19.8,34.9
2026-06-18,17.6,53.5,8.3,9.3,8.3,45.2
2026-06-19,25.7,51.3,7.6,18.1,7.6,43.7
2026-06-20,21.0,52.3,12.6,8.4,12.6,39.7
2026-06-21,13.0,51.9,6.4,6.6,6.4,45.4
2026-06-22,17.7,53.1,9.0,8.8,9.0,44.1
2026-06-23,25.1,52.4,15.5,9.6,15.5,36.9
