t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2025-08-01,7.7,46.5,6.0,1.7,6.0,40.4
2025-08-02,10.0,38.3,4.8,5.1,4.8,33.4
2025-08-03,9.4,54.2,4.9,4.6,4.9,49.3
2025-08-04,9.1,50.1,4.8,4.3,4.8,45.3
2025-08-05,15.5,53.6,9.6,5.9,9.6,43.9
2025-08-06,11.0,35.8,4.9,6.0,4.9,30.9
2025-08-07,12.7,45.8,7.8,4.9,7.8,38.0
2025-08-08,11.8,52.6,5.6,6.2,5.6,47.0
2025-08-09,14.6,52.5,7.1,7.5,7.1,45.4
2025-08-10,17.4,51.8,10.6,6.8,10.6,41.3
2025-08-11,18.4,51.5,13.0,5.3,13.0,38.5
2025-08-12,20.9,50.1,13.5,7.3,13.5,36.6
2025-08-13,22.2,51.2,17.4,4.8,17.4,33.8
2025-08-14,20.1,46.4,10.1,9.9,10.1,36.3
2025-08-15,8.2,51.4,2.9,5.3,2.9,48.6
2025-08-16,23.1,51.5,15.5,7.7,15.5,36.1
2025-08-17,3.8,51.8,1.5,2.3,1.5,50.3
2025-08-18,4.0,49.6,1.6,2.5,1.6,48.1
2025-08-19,2.6,30.3,1.4,1.3,1.4,28.9
2025-08-20,2.5,16.4,1.2,1.3,1.2,15.2
2025-08-21,2.4,39.9,1.4,1.0,1.4,38.5
2025-08-22,2.5,51.5,1.5,1.0,1.5,50.1
2025-08-23,2.8,41.2,1.5,1.2,1.5,39.6
2025-08-24,2.2,18.3,1.2,1.0,1.2,17.1
2025-08-25,3.6,37.9,2.3,1.3,2.3,35.6
2025-08-26,2.5,50.1,1.5,1.0,1.5,48.6
2025-08-27,2.2,17.9,1.2,1.0,1.2,16.7
2025-08-28,2.1,9.6,1.0,1.1,1.0,8.6
2025-08-29,2.4,41.2,1.4,1.0,1.4,39.8
