t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2025-10-01,6.4,19.7,2.9,3.5,2.9,16.8
2025-10-02,9.5,42.8,4.0,5.5,4.0,38.8
2025-10-03,7.1,31.7,4.4,2.7,4.4,27.3
2025-10-04,7.7,23.4,5.2,2.5,5.2,18.3
2025-10-05,6.5,46.9,2.4,4.1,2.4,44.4
2025-10-06,7.8,46.1,3.0,4.8,3.0,43.1
2025-10-07,8.9,45.0,6.2,2.7,6.2,38.8
2025-10-08,8.1,39.3,2.6,5.4,2.6,36.6
2025-10-09,7.5,39.5,3.5,4.0,3.5,36.0
2025-10-10,7.3,39.0,4.7,2.6,4.7,34.3
2025-10-11,16.7,39.3,10.2,6.5,10.2,29.0
2025-10-12,6.7,25.7,4.7,2.0,4.7,21.0
2025-10-13,7.1,10.2,1.4,5.7,1.4,8.9
2025-10-14,6.9,14.3,1.8,5.1,1.8,12.5
2025-10-15,8.9,19.1,3.7,5.2,3.7,15.3
2025-10-16,8.5,28.2,2.8,5.7,2.8,25.4
2025-10-17,10.8,21.1,3.4,7.5,3.4,17.7
2025-10-18,6.3,38.6,2.7,3.7,2.7,35.9
2025-10-19,7.4,19.2,2.5,4.9,2.5,16.6
2025-10-20,14.2,4.0,2.3,11.9,2.3,1.6
2025-10-21,12.9,24.6,5.0,7.9,5.0,19.6
2025-10-22,11.4,33.5,4.1,7.4,4.1,29.5
2025-10-23,9.7,20.8,2.7,7.0,2.7,18.1
2025-10-24,15.4,41.2,7.5,7.9,7.5,33.7
