t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2025-07-01,13.3,53.0,6.9,6.4,6.9,46.1
2025-07-02,7.9,42.6,4.3,3.6,4.3,38.3
2025-07-03,10.6,54.7,5.4,5.2,5.4,49.3
2025-07-04,20.5,55.1,16.4,4.1,16.4,38.7
2025-07-05,10.7,43.7,6.1,4.5,6.1,37.5
2025-07-06,14.0,44.2,9.2,4.8,9.2,35.0
2025-07-07,7.1,48.1,3.4,3.8,3.4,44.7
2025-07-08,8.1,57.4,5.1,2.9,5.1,52.3
2025-07-09,6.8,57.1,4.4,2.3,4.4,52.7
2025-07-10,7.0,56.3,4.8,2.1,4.8,51.5
2025-07-11,6.7,55.5,4.1,2.6,4.1,51.4
2025-07-12,6.8,47.2,2.9,3.9,2.9,44.3
2025-07-13,12.0,36.8,8.3,3.6,8.3,28.5
2025-07-14,6.3,51.5,3.7,2.6,3.7,47.8
2025-07-15,10.9,53.9,5.7,5.1,5.7,48.1
2025-07-16,9.6,55.3,5.6,4.0,5.6,49.8
2025-07-17,11.6,55.1,6.0,5.6,6.0,49.1
2025-07-18,9.6,54.0,5.3,4.3,5.3,48.7
2025-07-19,13.2,27.6,6.8,6.3,6.8,20.8
2025-07-20,16.3,40.4,12.2,4.1,12.2,28.2
2025-07-21,5.0,53.9,3.2,1.7,3.2,50.7
2025-07-22,4.1,56.1,2.2,1.9,2.2,53.9
2025-07-23,6.3,46.8,3.9,2.4,3.9,42.9
2025-07-24,10.6,44.2,4.0,6.6,4.0,40.3
2025-07-25,8.8,30.5,4.6,4.2,4.6,25.9
2025-07-26,8.0,46.1,5.3,2.7,5.3,40.8
2025-07-27,6.7,51.0,3.2,3.5,3.2,47.8
2025-07-28,9.5,53.4,5.0,4.5,5.0,48.4
2025-07-29,9.0,55.7,3.8,5.1,3.8,51.8
2025-07-30,5.6,41.3,3.6,2.1,3.6,37.8
