t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2025-11-01,10.9,14.7,3.6,7.3,3.6,11.1
2025-11-02,17.4,10.0,5.1,12.2,5.1,4.8
2025-11-03,9.6,36.5,3.2,6.4,3.2,33.2
2025-11-04,16.6,38.4,6.7,9.9,6.7,31.7
2025-11-05,12.2,37.5,5.4,6.8,5.4,32.1
2025-11-06,12.2,22.4,2.4,9.8,2.4,20.0
2025-11-07,10.9,14.2,4.2,6.7,4.2,10.0
2025-11-13,3.9,0.0,0.0,3.9,0.0,0.0
2025-11-14,9.8,7.6,2.2,7.7,2.2,5.4
2025-11-15,15.0,1.4,1.4,13.5,1.4,0.0
2025-11-16,12.1,1.7,1.5,10.6,1.5,0.1
2025-11-17,9.9,27.8,1.9,8.0,1.9,25.9
2025-11-19,1.8,0.0,0.0,1.8,0.0,0.0
2025-11-20,1.5,0.0,0.0,1.5,0.0,0.0
