t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2025-05-02,6.3,47.2,4.2,2.1,4.2,43.0
2025-05-03,13.3,34.8,10.6,2.7,10.6,24.2
2025-05-04,6.4,29.2,4.8,1.6,4.8,24.3
2025-05-05,6.4,22.4,3.3,3.1,3.3,19.1
2025-05-06,6.8,30.3,4.5,2.3,4.5,25.8
2025-05-07,9.2,27.4,6.4,2.7,6.4,21.0
2025-05-08,10.3,46.0,7.6,2.8,7.6,38.4
2025-05-09,7.8,32.9,4.6,3.2,4.6,28.3
2025-05-10,7.5,33.9,5.0,2.5,5.0,28.9
2025-05-11,6.8,44.5,4.0,2.8,4.0,40.5
2025-05-12,8.3,38.5,4.4,3.9,4.4,34.1
2025-05-13,6.3,41.2,2.5,3.9,2.5,38.7
2025-05-14,8.7,49.2,6.2,2.5,6.2,43.0
2025-05-15,8.9,55.9,6.4,2.5,6.4,49.5
2025-05-16,9.7,49.9,7.8,1.9,7.8,42.1
2025-05-17,9.9,48.9,7.1,2.8,7.1,41.8
2025-05-18,8.2,54.8,6.0,2.2,6.0,48.8
2025-05-19,6.5,37.4,5.2,1.3,5.2,32.2
2025-05-20,6.8,9.9,2.7,4.1,2.7,7.2
2025-05-21,7.7,53.2,4.5,3.2,4.5,48.7
2025-05-22,7.8,18.4,3.5,4.3,3.5,14.9
