t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2025-09-01,18.2,10.7,7.9,10.3,7.9,2.8
2025-09-02,10.0,46.0,5.1,4.9,5.1,40.9
2025-09-03,9.2,48.8,6.4,2.8,6.4,42.4
2025-09-04,10.7,27.4,5.6,5.1,5.6,21.8
2025-09-05,9.0,51.2,5.3,3.6,5.3,45.9
2025-09-06,8.0,51.2,3.0,5.0,3.0,48.2
2025-09-07,12.0,50.2,10.2,1.8,10.2,40.0
2025-09-08,6.3,27.7,3.5,2.8,3.5,24.2
2025-09-09,9.1,36.1,4.5,4.7,4.5,31.6
2025-09-10,7.7,24.6,1.9,5.8,1.9,22.7
2025-09-11,7.1,38.0,4.1,3.0,4.1,33.9
2025-09-12,10.9,41.1,5.2,5.7,5.2,35.9
2025-09-13,11.0,16.6,5.6,5.3,5.6,10.9
2025-09-14,6.6,37.3,3.5,3.0,3.5,33.8
2025-09-15,5.8,40.9,2.0,3.7,2.0,38.8
2025-09-16,8.4,39.6,5.5,2.9,5.5,34.2
2025-09-17,6.8,42.7,2.8,3.9,2.8,39.9
2025-09-18,7.7,37.6,4.6,3.1,4.6,33.0
