t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2026-02-01,13.4,28.2,6.3,7.1,6.3,21.9
2026-02-02,10.3,4.1,1.9,8.5,1.9,2.2
2026-02-03,15.5,10.7,6.5,9.0,6.5,4.2
2026-02-04,12.7,4.2,2.3,10.4,2.3,1.9
2026-02-05,11.2,23.9,3.5,7.7,3.5,20.4
2026-02-06,8.5,37.7,3.8,4.8,3.8,33.9
2026-02-07,15.4,31.8,7.7,7.7,7.7,24.1
2026-02-08,12.8,11.4,3.9,8.9,3.9,7.5
2026-02-09,8.0,16.9,1.6,6.4,1.6,15.3
2026-02-10,13.3,7.3,2.7,10.6,2.7,4.6
2026-02-11,10.8,27.7,6.2,4.5,6.2,21.4
2026-02-12,10.0,25.5,3.4,6.6,3.4,22.1
2026-02-13,11.8,24.2,4.8,7.1,4.8,19.5
2026-02-14,13.7,7.6,5.7,8.0,5.7,1.8
2026-02-15,13.9,36.6,6.1,7.8,6.1,30.4
2026-02-16,14.4,12.7,4.6,9.8,4.6,8.1
2026-02-17,9.4,43.6,5.6,3.8,5.6,38.1
2026-02-18,8.5,39.1,4.8,3.7,4.8,34.3
2026-02-19,13.9,28.7,8.8,5.1,8.8,19.9
2026-02-20,9.7,42.5,4.1,5.6,4.1,38.4
2026-02-21,15.7,37.6,10.0,5.7,10.0,27.6
2026-02-22,14.9,23.5,5.7,9.2,5.7,17.8
2026-02-23,9.7,36.7,2.3,7.4,2.3,34.4
2026-02-24,12.0,42.1,8.0,4.0,8.0,34.1
