t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2025-12-01,13.1,2.7,1.4,11.7,1.4,1.3
2025-12-02,8.4,11.9,1.4,7.0,1.4,10.5
2025-12-03,11.2,2.0,1.3,9.9,1.3,0.7
2025-12-04,11.6,7.6,3.2,8.3,3.2,4.4
2025-12-05,17.1,25.3,6.4,10.7,6.4,18.9
2025-12-06,13.4,21.7,6.0,7.4,6.0,15.6
2025-12-07,7.1,18.6,2.8,4.3,2.8,15.8
2025-12-08,11.3,30.1,2.7,8.6,2.7,27.4
2025-12-09,12.9,29.0,7.0,5.9,7.0,22.0
2025-12-10,9.6,27.4,4.1,5.4,4.1,23.3
2025-12-11,10.0,24.8,3.1,6.9,3.1,21.7
2025-12-12,8.1,28.5,2.5,5.6,2.5,26.0
2025-12-13,12.1,29.2,4.7,7.5,4.7,24.5
2025-12-14,13.6,29.0,4.7,8.9,4.7,24.3
2025-12-15,14.4,13.1,2.7,11.6,2.7,10.3
2025-12-16,10.1,1.5,1.2,8.9,1.2,0.3
2025-12-17,8.8,10.8,2.2,6.6,2.2,8.6
