t,consumo,produzione,cons_autoprodotto,consumo_da_rete,prod_autoconsumata,prod_immessa
2026-08-01,24.1,52.1,17.9,6.2,17.9,34.2
2026-08-02,17.8,44.4,13.1,4.7,13.1,31.4
2026-08-03,17.7,35.8,8.6,9.2,8.6,27.2
2026-08-04,19.7,50.7,11.2,8.5,11.2,39.5
2026-08-05,17.7,51.1,6.5,11.2,6.5,44.6
2026-08-06,27.5,51.8,16.6,10.9,16.6,35.2
2026-08-07,36.1,45.1,24.2,12.0,24.2,21.0
2026-08-08,21.1,49.4,14.4,6.7,14.4,35.0
2026-08-09,17.4,40.7,14.5,2.8,14.5,26.1
2026-08-10,2.8,41.7,1.3,1.5,1.3,40.3
2026-08-11,6.2,38.0,1.6,4.7,1.6,36.4
2026-08-12,31.4,44.3,12.0,19.4,12.0,32.3
2026-08-13,2.4,49.4,1.2,1.2,1.2,48.2
2026-08-14,16.0,44.0,4.9,11.1,4.9,39.1
2026-08-15,29.7,47.4,18.3,11.4,18.3,29.0
2026-08-16,4.9,48.0,1.3,3.6,1.3,46.7
2026-08-17,2.4,42.1,1.2,1.2,1.2,40.9
2026-08-18,2.5,49.0,1.2,1.3,1.2,47.8
2026-08-19,2.8,49.9,1.3,1.5,1.3,48.6
2026-08-20,2.6,23.2,1.1,1.5,1.1,22.2
2026-08-21,2.6,27.7,1.1,1.5,1.1,26.6
2026-08-22,2.5,49.8,1.2,1.3,1.2,48.6
2026-08-23,2.6,48.8,1.2,1.3,1.2,47.6
2026-08-24,2.8,32.8,1.2,1.6,1.2,31.6
2026-08-25,2.5,45.6,1.2,1.3,1.2,44.4
2026-08-26,2.5,36.6,1.3,1.3,1.3,35.3
2026-08-27,2.6,35.5,1.2,1.4,1.2,34.3
2026-08-28,2.5,27.9,1.2,1.4,1.2,26.7
2026-08-29,2.5,48.0,1.2,1.3,1.2,46.7
