t,T0,T1
2025-04-01 00:00:03,18.687,17.375
2025-04-01 00:01:03,18.687,17.375
2025-04-01 00:02:03,18.625,17.375
2025-04-01 00:03:03,18.687,17.375
2025-04-01 00:04:03,18.625,17.375
2025-04-01 00:05:03,18.625,17.312
2025-04-01 00:06:03,18.625,17.312
2025-04-01 00:07:02,18.625,17.375
2025-04-01 00:08:02,18.625,17.312
2025-04-01 00:09:03,18.687,17.375
2025-04-01 00:10:03,18.625,17.312
2025-04-01 00:11:03,18.625,17.312
2025-04-01 00:12:03,18.562,17.312
2025-04-01 00:13:03,18.625,17.312
2025-04-01 00:14:03,18.562,17.375
2025-04-01 00:15:03,18.625,17.312
2025-04-01 00:16:03,18.562,17.375
2025-04-01 00:17:02,18.562,17.312
2025-04-01 00:18:02,18.5,17.312
2025-04-01 00:19:03,18.562,17.312
2025-04-01 00:20:03,18.562,17.312
2025-04-01 00:21:03,18.562,17.312
2025-04-01 00:22:03,18.562,17.312
2025-04-01 00:23:03,18.562,17.312
2025-04-01 00:24:03,18.625,17.312
2025-04-01 00:25:03,18.562,17.312
2025-04-01 00:26:03,18.562,17.312
2025-04-01 00:27:02,18.562,17.25
2025-04-01 00:28:03,18.562,17.312
2025-04-01 00:29:03,18.562,17.312
2025-04-01 00:30:03,18.562,17.312
2025-04-01 00:31:03,18.5,17.312
2025-04-01 00:32:03,18.5,17.25
2025-04-01 00:33:03,18.5,17.25
2025-04-01 00:34:03,18.5,17.25
2025-04-01 00:35:03,18.5,17.312
2025-04-01 00:36:02,18.5,17.25
2025-04-01 00:37:03,18.5,17.25
2025-04-01 00:38:03,18.5,17.312
2025-04-01 00:39:03,18.5,17.25
2025-04-01 00:40:03,18.5,17.25
2025-04-01 00:41:03,18.5,17.25
2025-04-01 00:42:03,18.5,17.25
2025-04-01 00:43:03,18.5,17.25
2025-04-01 00:44:03,18.5,17.25
2025-04-01 00:45:03,18.5,17.25
2025-04-01 00:46:02,18.5,17.25
2025-04-01 00:47:03,18.562,17.25
2025-04-01 00:48:03,18.5,17.25
2025-04-01 00:49:03,18.437,17.25
2025-04-01 00:50:03,,17.25
2025-04-01 00:51:03,18.5,17.187
2025-04-01 00:52:03,18.5,17.187
2025-04-01 00:53:03,18.437,17.187
2025-04-01 00:54:03,18.437,17.25
2025-04-01 00:55:03,18.437,17.187
2025-04-01 00:56:02,18.437,17.187
2025-04-01 00:57:03,18.437,17.187
2025-04-01 00:58:03,18.437,17.187
2025-04-01 00:59:03,18.437,17.187
2025-04-01 01:00:03,18.5,17.187
2025-04-01 01:01:03,18.437,17.187
2025-04-01 01:02:03,18.437,17.187
2025-04-01 01:03:03,18.5,17.187
2025-04-01 01:04:03,18.437,17.187
2025-04-01 01:05:02,18.437,17.187
2025-04-01 01:06:02,18.437,17.187
2025-04-01 01:07:03,18.437,17.187
2025-04-01 01:08:03,18.437,17.187
2025-04-01 01:09:03,18.437,17.187
2025-04-01 01:10:03,18.437,17.187
2025-04-01 01:11:03,18.437,17.187
2025-04-01 01:12:03,18.437,17.187
2025-04-01 01:13:03,18.5,17.187
2025-04-01 01:14:03,18.375,17.187
