t,T0,T1
2025-07-01 00:00:03,27.5,26.375
2025-07-01 00:01:03,27.5,26.375
2025-07-01 00:02:03,27.562,26.375
2025-07-01 00:03:03,27.562,26.375
2025-07-01 00:04:02,27.5,26.375
2025-07-01 00:05:02,27.5,26.375
2025-07-01 00:06:03,27.562,26.375
2025-07-01 00:07:03,27.562,26.375
2025-07-01 00:08:03,27.562,26.375
2025-07-01 00:09:03,27.5,26.375
2025-07-01 00:10:03,27.5,26.875
2025-07-01 00:11:03,27.5,27.875
2025-07-01 00:12:03,27.437,28.25
2025-07-01 00:13:03,27.5,28.375
2025-07-01 00:14:02,27.5,28.437
2025-07-01 00:15:02,27.5,28.437
2025-07-01 00:16:03,27.5,28.437
2025-07-01 00:17:03,27.5,28.5
2025-07-01 00:18:03,27.5,28.562
2025-07-01 00:19:03,27.5,28.562
2025-07-01 00:20:03,27.437,28.625
2025-07-01 00:21:03,27.5,28.625
2025-07-01 00:22:03,27.5,28.625
2025-07-01 00:23:03,27.437,28.625
2025-07-01 00:24:02,27.437,28.625
2025-07-01 00:25:03,27.5,28.625
2025-07-01 00:26:03,27.437,28.625
2025-07-01 00:27:03,27.5,28.687
2025-07-01 00:28:03,27.437,28.687
2025-07-01 00:29:03,27.437,28.687
2025-07-01 00:30:03,,28.687
2025-07-01 00:31:03,27.437,28.687
2025-07-01 00:32:03,27.437,28.687
2025-07-01 00:33:02,27.437,28.687
2025-07-01 00:34:02,27.437,28.687
2025-07-01 00:35:03,27.5,28.625
2025-07-01 00:36:03,27.437,28.687
2025-07-01 00:37:03,27.437,28.687
2025-07-01 00:38:03,27.437,28.75
2025-07-01 00:39:03,27.437,28.687
2025-07-01 00:40:03,27.437,28.687
2025-07-01 00:41:03,27.437,28.687
2025-07-01 00:42:03,27.437,28.625
2025-07-01 00:43:02,27.375,28.562
2025-07-01 00:44:03,27.437,28.562
2025-07-01 00:45:03,27.437,28.5
2025-07-01 00:46:03,27.437,28.5
2025-07-01 00:47:03,27.437,28.375
2025-07-01 00:48:03,27.375,28.375
2025-07-01 00:49:03,27.375,28.312
2025-07-01 00:50:03,27.375,28.312
2025-07-01 00:51:03,27.375,28.25
2025-07-01 00:52:02,27.375,28.25
2025-07-01 00:53:03,27.312,28.125
2025-07-01 00:54:03,27.375,28.125
2025-07-01 00:55:03,27.375,28.125
2025-07-01 00:56:03,27.375,28.062
2025-07-01 00:57:03,27.375,28.125
2025-07-01 00:58:03,27.375,28.062
2025-07-01 00:59:03,27.375,28.0
2025-07-01 01:00:03,27.375,28.0
2025-07-01 01:01:02,27.375,27.937
2025-07-01 01:02:02,27.375,27.937
2025-07-01 01:03:03,27.375,27.875
2025-07-01 01:04:03,27.375,27.812
2025-07-01 01:05:03,27.312,27.812
2025-07-01 01:06:03,27.312,27.812
2025-07-01 01:07:03,27.312,27.812
2025-07-01 01:08:03,27.375,27.75
2025-07-01 01:09:03,27.375,27.75
2025-07-01 01:10:03,27.375,27.687
2025-07-01 01:11:03,27.312,27.687
2025-07-01 01:12:02,27.312,27.625
2025-07-01 01:13:03,27.375,27.625
2025-07-01 01:14:03,27.375,27.625
2025-07-01 01:15:03,27.375,27.625
2025-07-01 01:16:03,27.312,27.562
2025-07-01 01:17:03,27.312,27.5
2025-07-01 01:18:03,27.25,27.562
2025-07-01 01:19:03,27.312,27.5
2025-07-01 01:20:03,27.312,27.5
2025-07-01 01:21:03,27.312,27.5
2025-07-01 01:22:02,27.312,27.5
2025-07-01 01:23:03,27.187,27.5
2025-07-01 01:24:03,27.25,27.437
2025-07-01 01:25:03,27.25,27.375
2025-07-01 01:26:03,27.25,27.375
2025-07-01 01:27:03,27.25,27.375
2025-07-01 01:28:03,27.25,27.312
2025-07-01 01:29:03,27.25,27.312
2025-07-01 01:30:03,27.25,27.312
2025-07-01 01:31:03,27.25,27.312
2025-07-01 01:32:02,27.187,27.312
2025-07-01 01:33:03,27.187,27.312
2025-07-01 01:34:03,27.25,27.25
2025-07-01 01:35:03,27.25,27.25
2025-07-01 01:36:03,27.187,27.25
2025-07-01 01:37:03,27.25,27.187
2025-07-01 01:38:03,27.25,27.25
2025-07-01 01:39:03,27.25,27.187
2025-07-01 01:40:03,27.25,27.187
2025-07-01 01:41:02,27.25,27.187
2025-07-01 01:42:02,27.25,27.125
2025-07-01 01:43:03,27.25,27.062
2025-07-01 01:44:03,27.187,27.0
2025-07-01 01:45:03,27.187,27.0
2025-07-01 01:46:03,27.187,27.0
2025-07-01 01:47:03,27.187,27.0
2025-07-01 01:48:03,27.25,27.0
2025-07-01 01:49:03,27.25,27.062
2025-07-01 01:50:03,27.187,27.0
2025-07-01 01:51:02,27.125,27.0
2025-07-01 01:52:03,27.187,27.0
2025-07-01 01:53:03,27.187,27.0
2025-07-01 01:54:03,27.187,27.0
2025-07-01 01:55:03,27.187,27.0
2025-07-01 01:56:03,27.312,26.937
2025-07-01 01:57:03,27.187,26.937
2025-07-01 01:58:03,27.25,26.937
2025-07-01 01:59:03,27.25,26.937
2025-07-01 02:00:03,27.187,26.937
2025-07-01 02:01:02,27.187,26.937
2025-07-01 02:02:02,27.125,26.875
2025-07-01 02:03:03,27.187,26.937
2025-07-01 02:04:03,27.187,26.875
2025-07-01 02:05:03,27.187,26.875
