t,T0,T1
2024-09-01 00:00:03,26.187,25.312
2024-09-01 00:01:03,26.187,25.312
2024-09-01 00:02:02,26.187,25.25
2024-09-01 00:03:02,26.187,25.25
2024-09-01 00:04:03,26.125,25.312
2024-09-01 00:05:03,26.25,25.312
2024-09-01 00:06:03,26.187,25.25
2024-09-01 00:07:03,26.187,25.25
2024-09-01 00:08:03,26.25,25.25
2024-09-01 00:09:03,26.187,25.312
2024-09-01 00:10:03,26.25,25.25
2024-09-01 00:11:03,26.187,25.25
2024-09-01 00:12:03,26.25,25.25
2024-09-01 00:13:03,26.187,25.25
2024-09-01 00:14:02,26.187,25.25
2024-09-01 00:15:02,26.187,25.25
2024-09-01 00:16:03,26.187,25.25
2024-09-01 00:17:03,26.187,25.25
2024-09-01 00:18:03,26.125,25.187
2024-09-01 00:19:03,26.125,25.187
2024-09-01 00:20:03,26.125,25.187
2024-09-01 00:21:03,26.125,25.187
2024-09-01 00:22:03,26.125,25.25
2024-09-01 00:23:03,26.125,25.187
2024-09-01 00:24:02,26.125,25.25
2024-09-01 00:25:02,26.125,25.187
2024-09-01 00:26:03,26.125,25.187
2024-09-01 00:27:03,26.125,25.25
2024-09-01 00:28:03,26.187,25.187
2024-09-01 00:29:03,26.125,25.187
2024-09-01 00:30:03,26.125,25.187
2024-09-01 00:31:03,26.125,25.187
2024-09-01 00:32:03,26.125,25.187
2024-09-01 00:33:02,26.187,25.25
2024-09-01 00:34:02,26.125,25.187
2024-09-01 00:35:03,26.125,25.187
2024-09-01 00:36:03,26.125,25.187
2024-09-01 00:37:03,26.125,25.187
2024-09-01 00:38:03,26.125,25.187
2024-09-01 00:39:03,26.125,25.187
2024-09-01 00:40:03,26.125,25.187
2024-09-01 00:41:03,26.125,25.187
2024-09-01 00:42:03,26.125,25.187
2024-09-01 00:43:02,26.125,25.187
2024-09-01 00:44:02,26.062,25.187
2024-09-01 00:45:03,26.125,25.187
2024-09-01 00:46:03,26.187,25.187
2024-09-01 00:47:03,26.125,25.187
2024-09-01 00:48:03,26.062,25.187
2024-09-01 00:49:03,26.125,25.187
2024-09-01 00:50:03,26.125,25.187
2024-09-01 00:51:03,26.062,25.187
2024-09-01 00:52:03,26.062,25.187
2024-09-01 00:53:02,26.062,25.187
2024-09-01 00:54:02,26.062,25.187
2024-09-01 00:55:03,26.062,25.187
2024-09-01 00:56:03,26.062,25.187
2024-09-01 00:57:03,26.062,25.125
2024-09-01 00:58:03,26.062,25.125
2024-09-01 00:59:03,26.062,25.187
2024-09-01 01:00:03,26.062,25.125
2024-09-01 01:01:03,26.062,25.187
2024-09-01 01:02:02,26.062,25.125
2024-09-01 01:03:02,26.062,25.125
2024-09-01 01:04:03,26.062,25.125
2024-09-01 01:05:03,26.062,25.125
2024-09-01 01:06:03,26.062,25.125
2024-09-01 01:07:03,26.062,25.125
2024-09-01 01:08:03,26.062,25.125
2024-09-01 01:09:03,26.062,25.125
2024-09-01 01:10:03,26.062,25.125
2024-09-01 01:11:03,26.062,25.125
2024-09-01 01:12:02,26.062,25.125
2024-09-01 01:13:02,26.062,25.125
2024-09-01 01:14:03,26.0,25.125
2024-09-01 01:15:03,26.062,25.125
2024-09-01 01:16:03,26.0,25.125
2024-09-01 01:17:03,26.0,25.125
2024-09-01 01:18:03,26.0,25.125
2024-09-01 01:19:03,26.062,25.125
2024-09-01 01:20:03,26.0,25.062
2024-09-01 01:21:03,26.0,25.062
2024-09-01 01:22:03,26.062,25.062
2024-09-01 01:23:02,26.0,25.125
2024-09-01 01:24:03,26.062,25.125
2024-09-01 01:25:03,26.062,25.062
2024-09-01 01:26:03,26.062,25.062
2024-09-01 01:27:03,26.0,25.125
2024-09-01 01:28:03,26.0,25.125
2024-09-01 01:29:03,26.0,25.125
2024-09-01 01:30:03,26.062,25.125
2024-09-01 01:31:03,26.0,25.062
2024-09-01 01:32:03,26.062,25.125
2024-09-01 01:33:03,26.062,25.062
2024-09-01 01:34:02,26.0,25.062
2024-09-01 01:35:02,26.0,25.062
2024-09-01 01:36:03,26.0,25.062
2024-09-01 01:37:03,26.0,25.062
2024-09-01 01:38:03,26.0,25.062
2024-09-01 01:39:03,26.062,25.062
2024-09-01 01:40:03,26.0,25.062
2024-09-01 01:41:03,26.062,25.062
2024-09-01 01:42:03,26.0,25.062
2024-09-01 01:43:03,26.0,25.125
2024-09-01 01:44:02,26.0,25.062
2024-09-01 01:45:02,25.937,25.062
2024-09-01 01:46:03,25.937,25.062
2024-09-01 01:47:03,25.937,25.062
2024-09-01 01:48:03,25.937,25.125
2024-09-01 01:49:03,26.0,25.062
2024-09-01 01:50:03,26.0,25.062
2024-09-01 01:51:03,25.937,25.062
2024-09-01 01:52:03,26.0,25.062
2024-09-01 01:53:03,25.937,25.062
2024-09-01 01:54:02,25.937,25.062
2024-09-01 01:55:02,25.937,25.062
2024-09-01 01:56:03,25.937,25.062
2024-09-01 01:57:03,26.0,25.062
2024-09-01 01:58:03,25.937,25.062
2024-09-01 01:59:03,25.937,25.062
2024-09-01 02:00:03,26.0,25.062
2024-09-01 02:01:03,26.0,25.062
2024-09-01 02:02:03,25.937,25.0
2024-09-01 02:03:03,25.937,25.062
2024-09-01 02:04:02,26.0,25.0
2024-09-01 02:05:03,25.937,25.062
2024-09-01 02:06:03,25.937,25.0
2024-09-01 02:07:03,26.0,25.062
2024-09-01 02:08:03,26.0,25.062
2024-09-01 02:09:03,26.0,25.062
2024-09-01 02:10:03,25.937,25.062
2024-09-01 02:11:03,25.937,25.062
2024-09-01 02:12:03,26.0,25.062
2024-09-01 02:13:02,25.937,25.062
2024-09-01 02:14:02,26.0,25.062
2024-09-01 02:15:03,25.937,25.0
2024-09-01 02:16:03,25.937,25.062
2024-09-01 02:17:03,25.937,25.0
2024-09-01 02:18:03,25.875,25.0
2024-09-01 02:19:03,25.875,25.0
2024-09-01 02:20:03,25.937,25.0
2024-09-01 02:21:03,25.937,24.937
2024-09-01 02:22:03,25.937,25.0
2024-09-01 02:23:02,25.937,25.0
2024-09-01 02:24:02,25.937,25.0
2024-09-01 02:25:03,25.875,25.0
2024-09-01 02:26:03,25.875,24.937
2024-09-01 02:27:03,25.875,24.937
2024-09-01 02:28:03,25.875,24.937
2024-09-01 02:29:03,25.875,24.937
2024-09-01 02:30:03,25.875,25.0
2024-09-01 02:31:03,25.875,24.937
2024-09-01 02:32:03,25.812,24.937
2024-09-01 02:33:03,25.812,24.937
2024-09-01 02:34:02,25.875,24.937
2024-09-01 02:35:03,25.812,24.937
2024-09-01 02:36:03,25.812,24.875
2024-09-01 02:37:03,25.875,24.937
2024-09-01 02:38:03,25.812,24.875
2024-09-01 02:39:03,25.812,24.937
2024-09-01 02:40:03,25.812,24.875
2024-09-01 02:41:03,25.812,24.875
2024-09-01 02:42:03,25.812,24.875
2024-09-01 02:43:03,25.75,24.875
2024-09-01 02:44:03,25.75,24.875
2024-09-01 02:45:02,25.75,24.812
2024-09-01 02:46:03,25.75,24.875
2024-09-01 02:47:03,25.812,24.812
2024-09-01 02:48:03,25.812,24.812
2024-09-01 02:49:03,25.812,24.875
2024-09-01 02:50:03,25.75,24.875
2024-09-01 02:51:03,25.812,24.875
2024-09-01 02:52:03,25.812,24.875
2024-09-01 02:53:03,25.812,24.812
2024-09-01 02:54:02,25.75,24.812
2024-09-01 02:55:02,25.812,24.875
2024-09-01 02:56:03,25.75,24.875
2024-09-01 02:57:03,25.812,24.875
2024-09-01 02:58:03,25.812,24.875
2024-09-01 02:59:03,25.812,24.875
2024-09-01 03:00:03,25.812,24.875
2024-09-01 03:01:03,25.812,24.875
2024-09-01 03:02:03,25.812,24.875
2024-09-01 03:03:03,25.812,24.875
2024-09-01 03:04:02,25.812,24.875
2024-09-01 03:05:02,25.75,24.875
2024-09-01 03:06:03,25.812,24.875
2024-09-01 03:07:03,25.75,24.875
2024-09-01 03:08:03,25.812,24.875
