t,T0,T1,P0,P1
2026-07-01 00:00:03,27.8,26.6,15,15
2026-07-01 00:01:02,27.8,26.6,15,15
2026-07-01 00:02:03,27.9,26.6,15,15
2026-07-01 00:03:03,27.9,26.6,15,15
2026-07-01 00:04:03,27.8,26.6,15,15
2026-07-01 00:05:03,27.8,26.6,15,15
2026-07-01 00:06:02,27.9,26.6,15,15
2026-07-01 00:07:03,27.9,26.6,15,15
2026-07-01 00:08:03,27.9,26.6,15,15
2026-07-01 00:09:03,27.8,26.6,15,15
2026-07-01 00:10:03,27.9,26.6,15,15
2026-07-01 00:11:02,27.8,26.6,15,15
2026-07-01 00:12:03,27.9,26.6,15,15
2026-07-01 00:13:03,27.9,26.6,15,15
2026-07-01 00:14:03,27.9,26.6,15,15
2026-07-01 00:15:03,27.9,26.6,15,15
2026-07-01 00:16:02,27.9,26.6,15,15
2026-07-01 00:17:02,27.9,26.6,15,15
2026-07-01 00:18:03,27.8,26.6,15,15
2026-07-01 00:19:03,27.8,26.6,15,15
2026-07-01 00:20:02,27.8,26.6,15,15
2026-07-01 00:21:03,27.9,26.6,15,15
2026-07-01 00:22:03,27.9,26.6,15,15
2026-07-01 00:23:03,27.9,26.6,15,15
2026-07-01 00:24:03,27.9,26.6,15,15
2026-07-01 00:25:03,27.9,26.6,15,15
2026-07-01 00:26:02,27.9,26.6,15,15
2026-07-01 00:27:03,27.9,26.6,15,15
2026-07-01 00:28:03,27.9,26.6,15,15
2026-07-01 00:29:03,27.9,26.6,15,15
2026-07-01 00:30:02,27.8,26.6,15,15
2026-07-01 00:31:03,27.8,26.6,15,15
2026-07-01 00:32:03,27.9,26.6,15,15
2026-07-01 00:33:03,27.9,26.6,15,15
2026-07-01 00:34:03,27.9,26.6,15,15
2026-07-01 00:35:02,27.9,26.6,15,15
2026-07-01 00:36:03,27.9,26.6,15,15
2026-07-01 00:37:03,27.9,26.6,15,15
2026-07-01 00:38:03,27.8,26.6,15,15
2026-07-01 00:39:03,27.8,26.6,15,15
2026-07-01 00:40:02,27.9,26.6,15,15
2026-07-01 00:41:03,27.8,26.6,15,15
