t,T0,T1,P0,P1
2026-06-01 00:00:03,24.9,23.8,15,15
2026-06-01 00:01:03,24.9,23.8,15,15
2026-06-01 00:02:02,24.8,23.8,15,15
2026-06-01 00:03:03,24.9,23.8,15,15
2026-06-01 00:04:03,24.9,23.8,15,15
2026-06-01 00:05:03,24.9,23.8,15,15
2026-06-01 00:06:03,24.9,23.8,15,15
2026-06-01 00:07:02,24.9,23.8,15,15
2026-06-01 00:08:03,24.9,23.8,15,15
2026-06-01 00:09:03,24.9,23.8,15,15
2026-06-01 00:10:03,24.9,23.8,15,15
2026-06-01 00:11:03,24.9,23.8,15,15
2026-06-01 00:12:02,24.9,23.8,15,15
2026-06-01 00:13:03,24.9,23.8,15,15
2026-06-01 00:14:03,24.9,23.8,15,15
2026-06-01 00:15:03,24.8,23.8,15,15
2026-06-01 00:16:03,24.9,23.8,15,15
2026-06-01 00:17:02,24.8,23.8,15,15
2026-06-01 00:18:02,24.9,23.8,15,15
2026-06-01 00:19:03,24.9,23.8,15,15
2026-06-01 00:20:03,24.8,23.8,15,15
2026-06-01 00:21:03,24.9,23.8,15,15
2026-06-01 00:22:03,24.9,23.8,15,15
2026-06-01 00:23:02,24.9,23.8,15,15
2026-06-01 00:24:03,24.9,23.8,15,15
2026-06-01 00:25:03,24.9,23.8,15,15
2026-06-01 00:26:03,24.9,23.8,15,15
2026-06-01 00:27:03,24.9,23.8,15,15
2026-06-01 00:28:02,24.9,23.8,15,15
2026-06-01 00:29:03,24.8,23.8,15,15
2026-06-01 00:30:03,24.8,23.8,15,15
2026-06-01 00:31:03,24.9,23.8,15,15
2026-06-01 00:32:02,24.9,23.8,15,15
2026-06-01 00:33:03,24.8,23.7,15,15
2026-06-01 00:34:03,24.9,23.8,15,15
2026-06-01 00:35:03,24.9,23.8,15,15
2026-06-01 00:36:03,24.8,23.8,15,15
2026-06-01 00:37:02,24.8,23.8,15,15
2026-06-01 00:38:03,24.8,23.8,15,15
2026-06-01 00:39:03,24.8,23.8,15,15
2026-06-01 00:40:03,24.8,23.8,15,15
2026-06-01 00:41:03,24.9,23.8,15,15
