nohup: ignoring input
[26-01-12 09:49] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 09:59] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 10:09] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 10:19] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 10:29] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 10:39] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-12 10:49] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 10:59] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 11:09] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 11:19] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 11:29] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 11:39] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 11:49] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 11:59] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 12:09] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-12 12:19] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 12:29] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 12:39] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 12:49] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 12:59] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 13:09] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 13:19] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 13:29] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 13:39] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 13:49] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-12 13:59] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 14:09] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 14:19] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 14:29] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 14:39] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 14:49] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 14:59] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 15:09] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-12 15:19] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 15:29] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 15:39] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 15:49] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 15:59] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 16:09] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 16:19] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 16:29] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 16:39] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 16:49] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 16:59] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 17:09] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 17:19] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-12 17:29] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 17:39] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 17:49] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 17:59] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 18:09] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 18:19] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 18:29] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 18:39] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 18:49] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 18:59] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 19:10] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-12 19:20] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 19:30] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 19:40] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 19:50] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 20:00] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 20:10] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 20:20] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 20:30] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 20:40] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 20:50] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 21:00] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 21:10] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-12 21:20] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 21:30] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 21:40] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 21:50] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 22:00] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 22:10] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 22:20] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-12 22:30] T=20.0, t_set=20.0, pump_on=True Action=Spengo
[26-01-12 22:40] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 22:50] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 23:00] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 23:10] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 23:20] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 23:30] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 23:40] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-12 23:50] T=20.1, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 00:00] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 00:10] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 00:20] T=20.0, t_set=20.0, pump_on=False Action=Nessuna
[26-01-13 00:30] T=19.9, t_set=20.0, pump_on=False Action=Accendo
[26-01-13 00:40] T=19.9, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 00:50] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 01:00] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 01:10] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
[26-01-13 01:20] T=19.8, t_set=20.0, pump_on=True Action=Nessuna
